Order_Date,Region,Category,Sales_Channel,Units_Sold,Unit_Price,Discount_Pct,Customer_Rating,Return_Flag,Revenue,Profit_Margin,Profit
2024-01-28,West,Clothing,Wholesale,5,429.15,0.25,3.8,0,1609.31,0.26,418.42
2024-01-29,East,Furniture,Online,67,99.67,0.0,4.3,0,6677.89,0.06,400.67
2024-02-02,West,Clothing,Wholesale,31,245.25,0.2,3.0,0,6082.2,0.31,1885.48
2024-02-02,South,Clothing,In-Store,14,228.05,0.15,3.1,0,2713.8,0.24,651.31
2024-02-04,North,Furniture,Online,99,401.18,0.15,3.5,0,33759.3,0.12,4051.12
2024-02-04,East,Sports,In-Store,105,436.71,0.15,3.3,0,38976.37,0.34,13251.97
2024-02-04,West,Sports,In-Store,28,51.05,0.05,3.8,0,1357.93,0.1,135.79
2024-02-05,North,Furniture,Online,49,308.82,0.1,4.1,1,13618.96,0.3,4085.69
2024-02-05,South,Sports,In-Store,19,258.28,0.25,2.7,1,3680.49,0.4,1472.2
2024-02-06,South,Furniture,In-Store,46,324.99,0.1,4.7,0,13454.59,0.14,1883.64
2024-02-06,South,Electronics,In-Store,58,492.0,0.1,4.1,0,25682.4,0.07,1797.77
2024-02-07,North,Sports,In-Store,16,441.72,0.15,3.4,1,6007.39,0.09,540.67
2024-02-08,West,Sports,Online,109,291.74,0.05,4.0,0,30209.68,0.24,7250.32
2024-02-08,North,Sports,Online,61,455.78,0.25,4.1,0,20851.93,0.32,6672.62
2024-02-08,South,Sports,In-Store,30,51.37,0.05,3.2,0,1464.04,0.27,395.29
2024-02-10,West,Clothing,In-Store,83,101.94,0.25,3.0,0,6345.76,0.12,761.49
2024-02-10,East,Sports,Online,17,484.04,0.05,5.0,0,7817.25,0.29,2267.0
2024-02-11,East,Sports,In-Store,111,327.58,0.25,4.0,0,27271.03,0.31,8454.02
2024-02-13,South,Electronics,In-Store,2,40.97,0.2,4.4,0,65.55,0.27,17.7
2024-02-13,South,Sports,Wholesale,114,281.2,0.05,2.4,0,30453.96,0.18,5481.71
2024-02-14,North,Clothing,Online,10,160.89,0.2,3.9,1,1287.12,0.21,270.3
2024-02-15,West,Clothing,Online,103,163.94,0.0,3.8,0,16885.82,0.32,5403.46
2024-02-16,West,Furniture,Online,31,341.97,0.15,3.6,0,9010.91,0.31,2793.38
2024-02-16,North,Food & Beverage,Wholesale,50,497.45,0.1,4.9,0,22385.25,0.05,1119.26
2024-02-17,West,Clothing,Online,90,153.74,0.15,2.7,1,11761.11,0.44,5174.89
2024-02-17,North,Food & Beverage,Wholesale,110,65.6,0.25,3.8,0,5412.0,0.36,1948.32
2024-02-18,East,Sports,Online,37,50.68,0.15,3.9,0,1593.89,0.26,414.41
2024-02-18,East,Furniture,In-Store,36,211.91,0.05,3.5,0,7247.32,0.1,724.73
2024-02-19,North,Clothing,Online,9,378.28,0.05,3.5,1,3234.29,0.1,323.43
2024-02-20,North,Electronics,Online,119,338.93,0.1,2.8,0,36299.4,0.4,14519.76
2024-02-20,East,Electronics,Online,92,55.12,0.05,2.1,0,4817.49,0.38,1830.65
2024-02-20,South,Electronics,Wholesale,21,273.56,0.2,1.5,0,4595.81,0.18,827.25
2024-02-21,East,Clothing,Online,51,68.09,0.2,4.4,0,2778.07,0.23,638.96
2024-02-21,North,Furniture,Online,8,125.95,0.2,3.4,1,806.08,0.33,266.01
2024-02-22,West,Clothing,Online,75,160.04,0.05,5.0,1,11402.85,0.06,684.17
2024-02-22,North,Sports,Online,17,181.55,0.2,3.5,0,2469.08,0.45,1111.09
2024-02-22,South,Sports,In-Store,46,285.75,0.0,2.9,0,13144.5,0.37,4863.46
2024-02-22,North,Food & Beverage,Online,21,489.14,0.1,5.0,1,9244.75,0.13,1201.82
2024-02-23,West,Clothing,Online,116,202.69,0.2,2.4,0,18809.63,0.18,3385.73
2024-02-23,North,Electronics,Online,70,463.19,0.0,4.7,0,32423.3,0.22,7133.13
2024-02-23,South,Clothing,Online,47,227.67,0.2,4.9,0,8560.39,0.09,770.44
2024-02-23,West,Food & Beverage,Wholesale,2,331.52,0.1,4.0,0,596.74,0.28,167.09
2024-02-23,South,Electronics,Online,99,227.98,0.05,3.2,1,21441.52,0.27,5789.21
2024-02-24,West,Clothing,Online,55,276.68,0.2,3.7,0,12173.92,0.09,1095.65
2024-02-27,East,Clothing,Online,4,455.52,0.15,4.9,0,1548.77,0.24,371.7
2024-02-27,East,Furniture,Online,35,414.27,0.15,4.6,0,12324.53,0.26,3204.38
2024-02-27,West,Food & Beverage,Wholesale,84,86.79,0.1,2.4,0,6561.32,0.41,2690.14
2024-02-27,South,Clothing,In-Store,70,486.15,0.25,2.9,0,25522.88,0.42,10719.61
2024-02-28,West,Furniture,Wholesale,81,48.98,0.0,3.1,1,3967.38,0.26,1031.52
2024-02-29,North,Clothing,Online,25,394.44,0.15,3.6,0,8381.85,0.31,2598.37
2024-02-29,South,Food & Beverage,Online,103,77.8,0.1,3.3,0,7212.06,0.38,2740.58
2024-03-02,West,Sports,Online,100,363.97,0.25,3.9,0,27297.75,0.37,10100.17
2024-03-02,South,Sports,Online,21,6.89,0.1,2.6,0,130.22,0.37,48.18
2024-03-03,East,Clothing,Wholesale,57,421.65,0.25,4.4,0,18025.54,0.13,2343.32
2024-03-03,North,Electronics,Wholesale,43,301.07,0.25,3.6,0,9709.51,0.25,2427.38
2024-03-03,North,Furniture,In-Store,112,130.89,0.0,3.2,0,14659.68,0.15,2198.95
2024-03-05,North,Clothing,In-Store,65,281.12,0.1,3.2,0,16445.52,0.31,5098.11
2024-03-06,West,Electronics,In-Store,62,370.95,0.05,4.1,0,21848.96,0.3,6554.69
2024-03-08,East,Sports,In-Store,106,410.01,0.2,4.1,0,34768.85,0.2,6953.77
2024-03-09,West,Electronics,In-Store,1,427.02,0.15,4.0,0,362.97,0.33,119.78
2024-03-09,South,Furniture,Online,57,33.58,0.15,3.7,0,1626.95,0.22,357.93
2024-03-12,East,Furniture,In-Store,2,176.23,0.2,2.3,0,281.97,0.38,107.15
2024-03-15,South,Food & Beverage,Online,98,226.5,0.0,4.6,0,22197.0,0.41,9100.77
2024-03-16,South,Sports,In-Store,70,298.54,0.25,4.3,0,15673.35,0.09,1410.6
2024-03-21,South,Furniture,Wholesale,17,380.42,0.2,3.3,0,5173.71,0.21,1086.48
2024-03-21,West,Sports,Wholesale,94,490.99,0.25,5.0,1,34614.8,0.17,5884.52
2024-03-21,North,Electronics,In-Store,109,185.03,0.05,3.5,0,19159.86,0.06,1149.59
2024-03-26,South,Furniture,Online,89,130.72,0.15,3.8,0,9888.97,0.34,3362.25
2024-03-26,West,Food & Beverage,In-Store,46,231.94,0.2,3.6,0,8535.39,0.12,1024.25
2024-03-28,West,Electronics,Online,21,68.35,0.25,3.4,0,1076.51,0.42,452.13
2024-03-29,South,Clothing,Online,4,166.28,0.25,3.5,0,498.84,0.37,184.57
2024-03-29,West,Sports,Online,105,232.78,0.05,3.8,0,23219.8,0.35,8126.93
2024-04-01,West,Clothing,Online,13,251.14,0.1,4.5,0,2938.34,0.41,1204.72
2024-04-01,South,Furniture,Online,55,261.03,0.2,5.0,0,11485.32,0.1,1148.53
2024-04-01,North,Clothing,Online,42,181.31,0.25,3.6,0,5711.26,0.27,1542.04
2024-04-03,South,Electronics,In-Store,84,236.06,0.05,3.8,0,18837.59,0.28,5274.53
2024-04-04,East,Electronics,Online,20,62.29,0.1,4.5,0,1121.22,0.15,168.18
2024-04-05,South,Electronics,Online,5,107.62,0.2,4.7,1,430.48,0.23,99.01
2024-04-05,West,Clothing,In-Store,104,60.91,0.15,4.0,1,5384.44,0.1,538.44
2024-04-05,East,Furniture,In-Store,30,242.14,0.1,3.4,0,6537.78,0.38,2484.36
2024-04-05,South,Clothing,Online,106,404.26,0.1,2.7,0,38566.4,0.32,12341.25
2024-04-06,North,Electronics,Online,29,137.55,0.15,3.5,0,3390.61,0.18,610.31
2024-04-06,West,Clothing,Online,111,360.2,0.1,3.1,0,35983.98,0.21,7556.64
2024-04-07,East,Sports,In-Store,29,268.0,0.05,1.8,1,7383.4,0.41,3027.19
2024-04-08,South,Food & Beverage,In-Store,91,422.74,0.1,1.9,0,34622.41,0.34,11771.62
2024-04-08,South,Food & Beverage,Wholesale,108,6.45,0.25,3.9,0,522.45,0.16,83.59
2024-04-08,West,Sports,Online,23,225.4,0.2,4.4,0,4147.36,0.27,1119.79
2024-04-08,North,Clothing,Wholesale,17,81.39,0.05,3.6,0,1314.45,0.17,223.46
2024-04-08,South,Clothing,Wholesale,15,489.99,0.1,5.0,0,6614.87,0.07,463.04
2024-04-08,South,Electronics,Online,74,209.27,0.15,3.8,1,13163.08,0.3,3948.92
2024-04-09,West,Clothing,Online,10,441.66,0.1,2.3,1,3974.94,0.14,556.49
2024-04-09,North,Furniture,Wholesale,24,378.54,0.1,3.5,0,8176.46,0.44,3597.64
2024-04-09,North,Clothing,In-Store,14,364.23,0.05,4.7,0,4844.26,0.36,1743.93
2024-04-10,East,Electronics,Online,47,210.0,0.1,3.2,0,8883.0,0.06,532.98
2024-04-10,North,Clothing,In-Store,99,351.16,0.1,4.4,0,31288.36,0.31,9699.39
2024-04-10,East,Clothing,In-Store,107,412.36,0.05,3.7,0,41916.39,0.41,17185.72
2024-04-12,West,Furniture,Online,16,418.56,0.25,4.1,1,5022.72,0.16,803.64
2024-04-12,East,Sports,In-Store,101,427.28,0.1,3.7,0,38839.75,0.11,4272.37
2024-04-12,South,Furniture,Wholesale,21,47.78,0.2,4.4,0,802.7,0.16,128.43
2024-04-13,East,Clothing,In-Store,110,297.19,0.25,3.9,0,24518.18,0.18,4413.27
2024-04-13,North,Clothing,Online,89,297.48,0.15,3.9,0,22504.36,0.33,7426.44
2024-04-15,West,Food & Beverage,In-Store,60,85.0,0.1,5.0,0,4590.0,0.19,872.1
2024-04-15,South,Food & Beverage,In-Store,109,387.9,0.0,5.0,0,42281.1,0.43,18180.87
2024-04-16,West,Sports,In-Store,55,283.19,0.1,2.6,1,14017.9,0.14,1962.51
2024-04-17,East,Electronics,In-Store,104,495.91,0.1,3.9,0,46417.18,0.2,9283.44
2024-04-17,West,Sports,Wholesale,9,246.49,0.15,4.9,0,1885.65,0.38,716.55
2024-04-21,North,Furniture,In-Store,103,417.49,0.15,3.0,0,36551.25,0.26,9503.33
2024-04-21,North,Electronics,Online,111,120.92,0.0,4.6,1,13422.12,0.36,4831.96
2024-04-22,North,Electronics,Online,32,420.53,0.05,3.8,0,12784.11,0.17,2173.3
2024-04-22,North,Furniture,Online,107,239.77,0.15,5.0,0,21807.08,0.45,9813.19
2024-04-22,South,Sports,Online,44,18.45,0.05,5.0,0,771.21,0.38,293.06
2024-04-22,East,Clothing,In-Store,39,281.8,0.15,4.7,0,9341.67,0.06,560.5
2024-04-22,South,Furniture,Online,21,413.89,0.0,3.1,0,8691.69,0.41,3563.59
2024-04-23,West,Sports,Online,19,38.36,0.0,3.6,0,728.84,0.42,306.11
2024-04-25,West,Furniture,Online,10,120.22,0.2,4.4,0,961.76,0.29,278.91
2024-04-25,South,Clothing,In-Store,71,320.75,0.05,3.0,1,21634.59,0.32,6923.07
2024-04-25,South,Food & Beverage,Wholesale,106,237.52,0.25,3.4,0,18882.84,0.08,1510.63
2024-04-26,North,Sports,Online,115,256.19,0.2,4.8,0,23569.48,0.15,3535.42
2024-04-27,West,Furniture,Online,70,368.62,0.25,4.2,0,19352.55,0.42,8128.07
2024-04-29,South,Electronics,In-Store,51,88.33,0.25,4.8,0,3378.62,0.24,810.87
2024-04-29,South,Electronics,Wholesale,96,239.12,0.15,3.2,0,19512.19,0.1,1951.22
2024-04-30,West,Food & Beverage,Online,11,452.29,0.2,5.0,0,3980.15,0.45,1791.07
2024-05-01,South,Clothing,In-Store,118,122.21,0.05,2.9,1,13699.74,0.16,2191.96
2024-05-01,East,Sports,Wholesale,49,293.58,0.1,3.6,0,12946.88,0.26,3366.19
2024-05-02,North,Food & Beverage,Online,22,439.24,0.2,3.7,0,7730.62,0.38,2937.64
2024-05-03,North,Sports,In-Store,79,288.81,0.2,4.7,0,18252.79,0.39,7118.59
2024-05-03,North,Clothing,Online,118,485.52,0.2,2.1,1,45833.09,0.39,17874.91
2024-05-04,North,Sports,In-Store,45,282.05,0.25,5.0,0,9519.19,0.25,2379.8
2024-05-05,East,Furniture,In-Store,100,392.28,0.05,4.1,0,37266.6,0.23,8571.32
2024-05-05,West,Clothing,Online,21,135.34,0.15,4.6,0,2415.82,0.41,990.49
2024-05-06,West,Sports,Online,19,43.42,0.15,3.3,0,701.23,0.32,224.39
2024-05-06,East,Furniture,In-Store,64,416.19,0.05,3.5,0,25304.35,0.36,9109.57
2024-05-07,South,Clothing,Online,101,348.97,0.2,3.7,0,28196.78,0.4,11278.71
2024-05-07,East,Electronics,Online,78,27.2,0.25,4.1,0,1591.2,0.38,604.66
2024-05-07,North,Sports,Online,37,45.69,0.25,2.8,0,1267.9,0.36,456.44
2024-05-07,South,Electronics,Online,32,111.69,0.2,2.9,0,2859.26,0.4,1143.7
2024-05-08,South,Furniture,Online,3,173.7,0.15,3.4,0,442.93,0.25,110.73
2024-05-08,North,Clothing,Online,72,88.58,0.25,1.1,0,4783.32,0.3,1435.0
2024-05-08,East,Furniture,Online,37,274.69,0.0,3.4,0,10163.53,0.38,3862.14
2024-05-09,North,Clothing,Wholesale,12,268.67,0.15,4.0,0,2740.43,0.27,739.92
2024-05-09,South,Furniture,Wholesale,8,27.83,0.05,4.3,0,211.51,0.27,57.11
2024-05-10,North,Electronics,Online,39,394.92,0.05,3.4,0,14631.79,0.39,5706.4
2024-05-10,East,Electronics,In-Store,4,123.23,0.0,4.8,0,492.92,0.11,54.22
2024-05-10,East,Clothing,Wholesale,58,108.83,0.1,2.7,0,5680.93,0.43,2442.8
2024-05-10,West,Food & Beverage,In-Store,68,424.22,0.15,5.0,0,24519.92,0.07,1716.39
2024-05-13,West,Electronics,In-Store,36,342.43,0.0,3.9,0,12327.48,0.29,3574.97
2024-05-14,West,Sports,Online,52,74.78,0.0,3.9,0,3888.56,0.16,622.17
2024-05-14,South,Furniture,Online,12,19.69,0.15,4.3,0,200.84,0.28,56.24
2024-05-14,South,Sports,In-Store,20,63.23,0.05,5.0,0,1201.37,0.15,180.21
2024-05-15,South,Food & Beverage,Online,87,255.99,0.0,4.4,0,22271.13,0.32,7126.76
2024-05-16,North,Food & Beverage,Online,55,437.74,0.15,4.5,0,20464.34,0.15,3069.65
2024-05-18,South,Clothing,In-Store,1,21.52,0.05,4.0,0,20.44,0.31,6.34
2024-05-19,North,Electronics,In-Store,106,239.08,0.0,2.5,0,25342.48,0.08,2027.4
2024-05-21,South,Clothing,In-Store,55,473.59,0.2,4.1,0,20837.96,0.29,6043.01
2024-05-22,South,Food & Beverage,Wholesale,79,453.15,0.1,4.1,0,32218.96,0.21,6765.98
2024-05-22,East,Food & Beverage,Online,113,173.19,0.25,4.0,0,14677.85,0.06,880.67
2024-05-23,East,Food & Beverage,Online,113,80.03,0.15,3.8,0,7686.88,0.29,2229.2
2024-05-23,South,Furniture,Online,54,179.96,0.0,3.8,0,9717.84,0.32,3109.71
2024-05-23,North,Food & Beverage,Online,2,217.45,0.25,2.7,0,326.17,0.24,78.28
2024-05-23,West,Electronics,In-Store,39,339.83,0.05,3.0,0,12590.7,0.17,2140.42
2024-05-24,East,Food & Beverage,Wholesale,109,268.47,0.25,4.4,0,21947.42,0.13,2853.16
2024-05-26,West,Food & Beverage,Online,95,297.75,0.05,2.6,0,26871.94,0.18,4836.95
2024-05-26,West,Electronics,Wholesale,81,241.55,0.1,3.1,0,17609.0,0.16,2817.44
2024-05-26,East,Clothing,Online,5,24.68,0.15,4.3,0,104.89,0.21,22.03
2024-05-26,North,Clothing,Online,88,434.93,0.1,3.9,0,34446.46,0.15,5166.97
2024-05-26,West,Electronics,Online,24,132.06,0.05,4.2,0,3010.97,0.1,301.1
2024-05-27,North,Furniture,Online,44,37.02,0.1,3.5,0,1465.99,0.37,542.42
2024-05-27,South,Sports,Online,79,370.1,0.15,3.8,1,24852.22,0.32,7952.71
2024-05-29,West,Clothing,In-Store,33,57.1,0.1,2.8,0,1695.87,0.08,135.67
2024-05-29,North,Sports,Online,5,314.09,0.05,3.6,0,1491.93,0.34,507.26
2024-05-30,East,Clothing,In-Store,60,204.93,0.25,3.8,0,9221.85,0.13,1198.84
2024-05-30,East,Sports,In-Store,118,89.44,0.05,3.3,0,10026.22,0.14,1403.67
2024-05-31,East,Electronics,Online,114,68.78,0.2,4.2,0,6272.74,0.07,439.09
2024-05-31,West,Sports,Wholesale,104,237.47,0.15,2.7,1,20992.35,0.44,9236.63
2024-05-31,North,Food & Beverage,Online,58,414.79,0.25,4.5,0,18043.36,0.05,902.17
2024-06-01,North,Furniture,Online,27,146.03,0.25,2.9,0,2957.11,0.42,1241.99
2024-06-01,North,Furniture,Online,47,424.33,0.25,4.0,1,14957.63,0.13,1944.49
2024-06-02,North,Sports,Online,41,301.56,0.15,4.6,1,10509.37,0.16,1681.5
2024-06-03,North,Sports,In-Store,49,273.55,0.0,4.3,1,13403.95,0.18,2412.71
2024-06-05,West,Clothing,Online,69,448.99,0.2,4.2,0,24784.25,0.19,4709.01
2024-06-06,North,Furniture,Wholesale,75,366.28,0.2,3.0,0,21976.8,0.25,5494.2
2024-06-06,North,Sports,Wholesale,104,205.1,0.05,4.1,0,20263.88,0.12,2431.67
2024-06-06,North,Furniture,Online,70,490.15,0.05,4.2,0,32594.98,0.4,13037.99
2024-06-08,South,Furniture,In-Store,16,138.13,0.25,3.6,0,1657.56,0.17,281.79
2024-06-08,West,Furniture,In-Store,68,290.74,0.0,4.1,0,19770.32,0.39,7710.42
2024-06-08,North,Food & Beverage,Online,116,402.17,0.1,4.8,1,41986.55,0.41,17214.49
2024-06-08,East,Furniture,In-Store,7,41.75,0.1,4.2,0,263.03,0.45,118.36
2024-06-09,North,Sports,In-Store,14,415.36,0.0,4.6,0,5815.04,0.12,697.8
2024-06-09,North,Electronics,Online,64,313.15,0.05,2.9,0,19039.52,0.41,7806.2
2024-06-09,East,Sports,Online,86,145.86,0.25,3.9,0,9407.97,0.17,1599.35
2024-06-09,West,Electronics,Online,85,157.81,0.25,3.0,0,10060.39,0.28,2816.91
2024-06-10,South,Food & Beverage,In-Store,58,278.49,0.15,3.9,0,13729.56,0.17,2334.03
2024-06-11,North,Sports,Online,51,367.65,0.15,4.7,0,15937.63,0.22,3506.28
2024-06-11,South,Food & Beverage,Online,9,26.97,0.0,4.3,0,242.73,0.3,72.82
2024-06-13,North,Furniture,Wholesale,25,88.7,0.0,2.5,0,2217.5,0.08,177.4
2024-06-15,West,Clothing,Online,104,53.29,0.05,3.3,0,5265.05,0.32,1684.82
2024-06-17,South,Food & Beverage,In-Store,36,409.26,0.2,5.0,1,11786.69,0.32,3771.74
2024-06-18,North,Clothing,Online,114,57.64,0.1,2.8,0,5913.86,0.37,2188.13
2024-06-18,North,Sports,Online,76,380.88,0.2,3.8,1,23157.5,0.22,5094.65
2024-06-18,North,Sports,In-Store,99,343.46,0.25,3.7,0,25501.9,0.13,3315.25
2024-06-18,South,Clothing,In-Store,47,72.22,0.1,5.0,0,3054.91,0.15,458.24
2024-06-19,West,Food & Beverage,Online,50,371.14,0.0,4.3,0,18557.0,0.1,1855.7
2024-06-20,East,Clothing,Wholesale,89,193.9,0.0,2.8,0,17257.1,0.23,3969.13
2024-06-20,West,Sports,Online,83,329.79,0.05,4.6,0,26003.94,0.17,4420.67
2024-06-20,East,Electronics,Online,85,277.04,0.05,4.4,0,22370.98,0.4,8948.39
2024-06-20,West,Clothing,In-Store,104,145.5,0.0,3.0,0,15132.0,0.2,3026.4
2024-06-21,West,Furniture,Wholesale,48,86.99,0.1,3.7,0,3757.97,0.06,225.48
2024-06-22,South,Sports,Online,30,235.97,0.1,1.8,0,6371.19,0.18,1146.81
2024-06-23,West,Furniture,Online,63,204.97,0.0,3.4,0,12913.11,0.14,1807.84
2024-06-24,North,Furniture,In-Store,24,227.81,0.0,4.1,0,5467.44,0.37,2022.95
2024-06-24,West,Electronics,In-Store,34,465.07,0.1,3.0,0,14231.14,0.08,1138.49
2024-06-27,North,Furniture,Online,96,160.46,0.25,4.6,0,11553.12,0.31,3581.47
2024-06-28,North,Food & Beverage,Online,112,268.3,0.2,2.6,0,24039.68,0.06,1442.38
2024-06-28,North,Furniture,Online,80,230.71,0.0,2.9,1,18456.8,0.3,5537.04
2024-06-28,West,Electronics,Online,85,213.61,0.2,2.7,0,14525.48,0.1,1452.55
2024-06-29,North,Furniture,In-Store,45,73.74,0.0,4.5,0,3318.3,0.1,331.83
2024-07-02,South,Furniture,Wholesale,86,439.23,0.2,3.5,0,30219.02,0.08,2417.52
2024-07-03,North,Clothing,Online,60,23.8,0.05,2.4,0,1356.6,0.07,94.96
2024-07-04,West,Clothing,Online,75,267.89,0.05,4.7,0,19087.16,0.23,4390.05
2024-07-05,East,Clothing,Online,119,312.57,0.1,3.1,0,33476.25,0.41,13725.26
2024-07-05,East,Furniture,In-Store,105,404.07,0.05,3.9,0,40305.98,0.36,14510.15
2024-07-05,East,Electronics,In-Store,52,331.12,0.15,3.5,0,14635.5,0.29,4244.3
2024-07-06,South,Food & Beverage,Online,119,90.06,0.15,4.4,0,9109.57,0.26,2368.49
2024-07-06,North,Electronics,Online,113,274.83,0.1,4.5,1,27950.21,0.09,2515.52
2024-07-06,West,Food & Beverage,In-Store,45,323.12,0.0,3.4,0,14540.4,0.1,1454.04
2024-07-07,West,Sports,Online,114,366.75,0.0,5.0,0,41809.5,0.12,5017.14
2024-07-07,South,Clothing,Online,62,161.02,0.2,5.0,0,7986.59,0.43,3434.23
2024-07-08,North,Electronics,Online,8,201.7,0.05,4.0,0,1532.92,0.09,137.96
2024-07-08,West,Furniture,Online,11,117.57,0.15,4.6,0,1099.28,0.12,131.91
2024-07-08,South,Furniture,Wholesale,118,292.21,0.2,3.2,0,27584.62,0.16,4413.54
2024-07-08,North,Clothing,In-Store,32,382.76,0.1,3.3,1,11023.49,0.45,4960.57
2024-07-09,North,Electronics,Online,4,371.79,0.0,4.1,0,1487.16,0.29,431.28
2024-07-09,South,Electronics,In-Store,97,282.29,0.0,5.0,1,27382.13,0.44,12048.14
2024-07-10,North,Sports,In-Store,26,333.02,0.2,3.8,0,6926.82,0.15,1039.02
2024-07-10,North,Food & Beverage,Wholesale,35,78.25,0.1,3.2,0,2464.88,0.07,172.54
2024-07-10,West,Clothing,Online,114,99.64,0.0,4.0,0,11358.96,0.33,3748.46
2024-07-12,East,Electronics,Online,112,113.16,0.1,1.6,0,11406.53,0.17,1939.11
2024-07-13,East,Clothing,Wholesale,81,339.33,0.0,4.1,0,27485.73,0.19,5222.29
2024-07-14,North,Clothing,Online,69,188.35,0.0,2.8,1,12996.15,0.38,4938.54
2024-07-16,West,Sports,Online,18,327.13,0.0,5.0,0,5888.34,0.28,1648.74
2024-07-16,West,Clothing,Online,23,117.04,0.25,2.7,1,2018.94,0.14,282.65
2024-07-16,North,Furniture,In-Store,13,419.89,0.1,4.6,0,4912.71,0.24,1179.05
2024-07-17,North,Clothing,In-Store,22,17.45,0.0,5.0,0,383.9,0.45,172.76
2024-07-19,North,Food & Beverage,In-Store,85,395.63,0.15,3.3,0,28584.27,0.25,7146.07
2024-07-19,North,Furniture,Online,21,371.17,0.15,5.0,0,6625.38,0.24,1590.09
2024-07-20,West,Furniture,In-Store,60,51.61,0.25,3.5,0,2322.45,0.1,232.24
2024-07-21,West,Electronics,In-Store,75,36.92,0.15,4.4,0,2353.65,0.11,258.9
2024-07-22,East,Food & Beverage,Online,89,484.96,0.2,3.4,0,34529.15,0.45,15538.12
2024-07-24,East,Food & Beverage,Online,64,274.7,0.2,4.4,0,14064.64,0.19,2672.28
2024-07-25,West,Furniture,Online,64,380.99,0.2,2.8,0,19506.69,0.24,4681.61
2024-07-26,West,Electronics,Online,72,101.83,0.25,3.8,0,5498.82,0.26,1429.69
2024-07-26,North,Electronics,Online,65,454.15,0.1,4.3,1,26567.78,0.31,8236.01
2024-07-26,North,Furniture,Online,116,142.52,0.05,4.1,0,15705.7,0.42,6596.39
2024-07-31,North,Furniture,Wholesale,86,223.33,0.25,4.2,0,14404.78,0.31,4465.48
2024-08-01,East,Clothing,In-Store,115,345.0,0.25,3.2,0,29756.25,0.44,13092.75
2024-08-02,West,Clothing,In-Store,102,367.56,0.25,4.4,0,28118.34,0.16,4498.93
2024-08-02,East,Clothing,Online,119,189.11,0.2,4.1,0,18003.27,0.11,1980.36
2024-08-02,South,Sports,In-Store,116,396.9,0.25,4.9,0,34530.3,0.35,12085.6
2024-08-03,North,Electronics,Online,11,164.89,0.15,4.0,0,1541.72,0.29,447.1
2024-08-04,South,Electronics,In-Store,87,141.84,0.0,4.6,0,12340.08,0.23,2838.22
